state,route,link,busname,bustype,departing_time,duration,reaching_time,price,star_rating,seats_available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Krk Travels,Non A/C Seater / Sleeper (2+1),23:45,07h 35m,07:20,999,3.6,31 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Go Tour Travels and Holidays,A/C Sleeper (2+1),00:10,06h 50m,07:00,846,3.6,2 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),01:00,05h 13m,06:13,499,3.6,17 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),00:25,05h 46m,06:11,780,3.6,1 Seat available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Siri Tours and Travels,A/C Seater / Sleeper (2+1),01:00,05h 29m,06:29,670,3.6,5 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),23:55,06h 49m,06:44,499,3.6,31 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,KTR Travels,Non A/C Seater / Sleeper (2+1),23:30,07h 42m,07:12,1799,3.6,32 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Kaveri Travels,Non A/C Seater / Sleeper (2+1),00:45,05h 15m,06:00,449,3.6,6 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Orange Tours And Travels,NON A/C Sleeper (2+1),23:00,06h 30m,05:30,700,3.5,33 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),22:05,06h 55m,05:00,500,4.4,35 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Atluri Travels,NON A/C Hi-Tech (2+2),22:45,06h 05m,04:50,399,3.6,26 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,DMR Travels,Non A/C Seater / Sleeper (2+1),23:59,06h 06m,06:05,500,3.5,23 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,DMR Travels,Non A/C Seater / Sleeper (2+1),23:50,06h 35m,06:25,560,3.5,24 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Srivastav Travels,Bharat Benz A/C Sleeper (2+1),01:40,05h 17m,06:57,899,3.5,2 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,DMR Travels,Non A/C Seater / Sleeper (2+1),23:40,07h 10m,06:50,500,3.5,17 Seats available
